panelist,team,assertion,possession,truthValue
James Acaster,Lee,"I once spent the night in a bush in Basingstoke.",0,1
Melvin Odoom,David,"At school, I used to regularly pay my friend to clean my rubbers.",0,1
Gabby Logan,Lee,"I deliberately tripped him up during the wheelbarrow race at my son's sports day. ",0,0
James Acaster,Lee,"For six months, he was my sworn enemy when a practical joke got out of hand. ",0,1
Lee Mack,Lee,"I once took him home from nursery instead of my own son. ",0,0
David Mitchell,David,"I recently ended up in A&amp;E after attempting to use a sledgehammer to crack a nut.",0,0
